year,return_pct,start_value,end_value
2016,26.76724073494196,1000860.883985048,1268763.726223194
2017,46.37542234726631,1268763.726223194,1857158.262848114
2018,41.13583261391393,1857158.262848114,2621115.7772287857
2019,29.244515517063558,2621115.7772287857,3387648.387420659
2020,96.95431679678539,3387648.387420659,6672119.736921676
2021,28.39902459496939,6672119.736921676,8566936.66201587
2022,-2.3464327625952546,8566936.66201587,8365919.253427546
2023,12.36755307664495,8365919.253427546,9400578.757444456
2024,12.298996641479807,9400578.757444456,10556755.623102214
2025,9.962447856492838,10556755.623102214,11608466.897391148
