month,month_name,avg_return_pct,median_return_pct,std_return_pct,min_return_pct,max_return_pct,count
1,January,2.934884486711662,2.301208032029373,3.2638438016220435,-0.8668956197527675,10.563382848795454,9
2,February,2.2467234679196313,1.7729230876928384,2.3367818582193345,-0.7333828986675971,7.054031046569207,9
3,March,2.130802233955834,1.933682095473602,2.102220444847073,-0.4826963812698913,5.234106050835867,9
4,April,2.152032552441602,2.275445587502917,2.543841475907482,-1.9941069051989064,6.056995361393787,9
5,May,2.6547661547540153,1.3364187812905346,3.815001316312379,-0.322812724287137,12.617252346885957,10
6,June,2.7099292484431228,2.069365232711813,3.546016838607788,-1.577015016648654,9.463947427041944,10
7,July,2.9290802426458713,0.9879248147478978,3.478922761690988,0.08233811692739185,10.04292939363533,10
8,August,2.4737717554316516,1.0556349163752108,2.9313031886495162,0.1202611713969856,9.591691528439902,10
9,September,1.6247877949616885,0.8476710701249462,1.998717186305291,-1.002895250232656,5.185154400811174,10
10,October,1.0084185257997278,0.5044381980027295,1.4365172552832772,-1.319547909270644,3.609855832755697,10
11,November,1.2715739398354757,0.6958430231295062,2.1536926614632765,-2.583555952994006,5.033088521022442,10
12,December,2.2346535407941563,1.8176539629083992,3.1937969362971788,-3.3212859508028174,8.342786296858723,9
