date,cash,realized_pnl,open_pnl,total_pnl,portfolio_value,concurrent_positions,peak_value,drawdown,drawdown_pct
2016-05-13,1000000,0.0,860.8839850480683,860.8839850480683,1000860.883985048,51,1000860.883985048,0.0,0.0
2016-05-20,1000000,0.0,518.1581460315588,518.1581460315588,1000518.1581460316,66,1000860.883985048,-342.7258390164934,-0.03424310456133416
2016-05-27,1000000,0.0,-2370.0223008682883,-2370.0223008682883,997629.9776991317,100,1000860.883985048,-3230.9062859163387,-0.3228127242871253
2016-06-03,1000000,0.0,-7812.107381980658,-7812.107381980658,992187.8926180194,162,1000860.883985048,-8672.991367028677,-0.8665531349867645
2016-06-10,1000000,-22697.245,1227.4577240855126,-21469.787275914485,978530.2127240855,253,1000860.883985048,-22330.671260962496,-2.2311463679198096
2016-06-17,1000000,-53441.779,29942.788848902324,-23498.990151097678,976501.0098489024,238,1000860.883985048,-24359.874136145692,-2.4338921148715413
2016-06-24,1000000,-66924.572,55015.84681902497,-11908.72518097503,988091.274819025,206,1000860.883985048,-12769.609166023089,-1.275862546968501
2016-07-01,1000000,-58379.331999999995,60841.05096764216,2461.718967642162,1002461.7189676422,125,1002461.7189676422,0.0,0.0
2016-07-08,1000000,-58491.61,76233.1425388564,17741.532538856394,1017741.5325388564,147,1017741.5325388564,0.0,0.0
2016-07-15,1000000,-61728.626000000004,94912.43592192394,33183.80992192394,1033183.8099219239,221,1033183.8099219239,0.0,0.0
2016-07-22,1000000,-71647.986,118224.33102393955,46576.345023939546,1046576.3450239395,303,1046576.3450239395,0.0,0.0
2016-07-29,1000000,-73561.645,140668.81451898653,67107.16951898653,1067107.1695189865,304,1067107.1695189865,0.0,0.0
2016-08-05,1000000,-46332.10500000001,141162.99881321326,94830.89381321325,1094830.8938132133,307,1094830.8938132133,0.0,0.0
2016-08-12,1000000,-35231.719,154026.61083501333,118794.89183501333,1118794.8918350134,298,1118794.8918350134,0.0,0.0
2016-08-19,1000000,-40633.924,183917.67541011085,143283.75141011085,1143283.7514101109,297,1143283.7514101109,0.0,0.0
2016-08-26,1000000,-39955.37800000001,209416.17549711402,169460.797497114,1169460.797497114,297,1169460.797497114,0.0,0.0
2016-09-02,1000000,-5781.482000000007,202622.52381900098,196841.04181900097,1196841.041819001,266,1196841.041819001,0.0,0.0
2016-09-09,1000000,-7867.379000000008,223398.29894616466,215530.91994616465,1215530.9199461646,269,1215530.9199461646,0.0,0.0
2016-09-16,1000000,77202.18200000002,144673.11092405306,221875.2929240531,1221875.292924053,181,1221875.292924053,0.0,0.0
2016-09-23,1000000,85061.011,135351.448973617,220412.459973617,1220412.459973617,181,1221875.292924053,-1462.8329504360445,-0.1197203150687628
2016-09-30,1000000,69904.79100000001,160194.354504297,230099.145504297,1230099.145504297,191,1230099.145504297,0.0,0.0
2016-10-07,1000000,81232.257,152741.97349635966,233974.23049635964,1233974.2304963595,206,1233974.2304963595,0.0,0.0
2016-10-14,1000000,157582.4,75395.87443735666,232978.27443735665,1232978.2744373567,156,1233974.2304963595,-995.9560590027831,-0.08071125266547625
2016-10-21,1000000,175811.66,59036.29362007591,234847.95362007592,1234847.953620076,130,1234847.953620076,0.0,0.0
2016-10-28,1000000,185533.47000000003,51207.54501605288,236741.0150160529,1236741.0150160529,128,1236741.0150160529,0.0,0.0
2016-11-04,1000000,183903.04,55949.88378295352,239852.92378295353,1239852.9237829535,95,1239852.9237829535,0.0,0.0
