month,month_name,avg_return_pct,median_return_pct,std_return_pct,min_return_pct,max_return_pct,count
1,January,2.9287563180918545,2.2966645769122476,3.2596120972597653,-0.8680411946892043,10.547099358247,9
2,February,2.2436793074748658,1.7680212627083012,2.336476241212808,-0.731021653330862,7.04860827697777,9
3,March,2.1345190775149763,1.9284286811833116,2.1118104806542046,-0.48134535008551493,5.217509589153237,9
4,April,2.1584820600973393,2.2647062783558702,2.5583242760125793,-1.9884985530973454,6.0607136667650625,9
5,May,2.6594131531686007,1.3271048431614432,3.8224321008831814,-0.322812724287137,12.617946604275973,10
6,June,2.7218611434638036,2.076723326360519,3.5576365405178465,-1.5789138927941055,9.462611309938557,10
7,July,2.941653423029889,1.0165503310317794,3.4822852276852334,0.08308040865854875,10.0442322401805,10
8,August,2.484122996111646,1.0538400991012498,2.942231014988761,0.10011204534598113,9.615794243679373,10
9,September,1.6338001491979122,0.8688370870076247,1.999914959022164,-1.0018438910590315,5.197381858283823,10
10,October,1.0050701115988216,0.48388786408368933,1.4391840543317642,-1.3134390417549042,3.6411183132223184,10
11,November,1.269283874669401,0.694763511711936,2.1470900704011964,-2.5714361544660025,5.016348117549031,10
12,December,2.2212565714301378,1.8174933357200325,3.178787746238545,-3.3052941454017146,8.316363087881202,9
