symbol,total_pnl,num_trades,avg_pnl,win_rate,avg_slope,avg_win,avg_loss,profit_factor,num_winners,num_losers
NGNE,-7579.790000000001,58,-81.51706896551727,41.37931034482759,4.0640802307026105,1158.2358333333334,-956.6367647058823,0.8546381086926779,24,34
KALV,-7286.092999999982,65,73.20015384615405,38.46153846153847,4.700412386316412,1490.0656000000004,-812.3407499999998,1.1464290077778325,25,40
VECO,-631.8820000000142,64,37.6393749999999,46.875,3.068272113446466,816.448,-649.5447058823529,1.1090773084495382,30,34
RAIL,-372.2080000000046,59,-40.77593220338989,38.983050847457626,5.335956039521825,1462.555652173913,-1001.2377777777778,0.9332553927693944,23,36
SNEX,-40.875999999993155,66,13.794242424242512,39.39393939393939,2.1649918583031256,539.4346153846155,-327.87199999999996,1.0694188585789581,26,40
NBIX,1203.9250000000002,65,53.85584615384615,44.61538461538462,2.5377092439534303,666.9041379310346,-439.9886111111112,1.2210050891468782,29,36
GRPN,1815.9090000000024,69,10.496086956521752,36.231884057971016,5.092513236075519,1784.4376000000002,-997.425227272727,1.0165022623021869,25,44
AAON,1971.0639999999885,64,24.91515624999985,42.1875,2.4180310388404544,614.4037037037035,-405.25216216216234,1.1063448650256456,27,37
PGEN,2708.2839999999933,74,-40.35878378378375,33.78378378378378,3.916288901809796,1517.3908,-835.1289795918367,0.9270172614177645,25,49
OCC,4106.477000000001,49,39.14897959183678,34.69387755102041,4.220634709703117,1469.1211764705886,-720.5237500000001,1.0831990270966088,17,32
VSEC,4216.998000000003,64,42.29921875000004,45.3125,2.9331837707123323,531.9975862068967,-363.45085714285705,1.2128132079951077,29,35
LITS,4648.1520000000055,53,79.7981132075472,47.16981132075472,4.163056991240271,1282.9892000000002,-994.4796428571428,1.1518848873944487,25,28
VRSK,4706.996000000002,40,110.77475000000001,57.49999999999999,1.589878375448778,374.2578260869565,-245.70235294117646,2.0608220371851167,23,17
NSIT,4873.619999999998,62,68.95241935483868,43.54838709677419,2.5354056374823215,722.328148148148,-435.08028571428565,1.2807396467384344,27,35
GLDD,4955.793000000004,59,57.199152542372886,42.3728813559322,2.8471685770594934,789.5228000000002,-481.2741176470588,1.2062387095039395,25,34
ALNT,5383.5790000000015,66,94.95212121212126,48.484848484848484,2.832519082677475,884.8418750000001,-648.4735294117646,1.2842349227371068,32,34
SSYS,5960.105000000006,71,-0.7067605633802794,36.61971830985916,3.0579261136662153,1073.3534615384615,-621.2748888888889,0.9982051244448243,26,45
IPAR,6513.208999999996,49,99.13469387755096,44.89795918367347,2.34403402020229,625.2386363636361,-329.5425925925926,1.5459419060088895,22,27
ENSG,7357.092999999994,61,116.21704918032779,49.18032786885246,2.2468552957133796,595.3176666666666,-347.4287096774195,1.6582218306099457,30,31
DXCM,7626.268999999995,63,128.6565079365079,50.79365079365079,3.10711796770796,899.4646875,-667.0164516129033,1.3919891708431043,32,31
QCOM,7645.430000000002,56,108.24732142857148,57.14285714285714,2.128353064202099,452.9450000000002,-351.34958333333344,1.7188768546046853,32,24
RIGL,7669.290999999988,67,122.90283582089543,38.80597014925373,4.7466810395823185,1499.439615384615,-750.0229268292685,1.267780106884537,26,41
III,7670.325000000007,50,96.3894000000001,40.0,2.344217105289492,871.618,-420.42966666666666,1.3821067178101134,20,30
SLP,8143.1350000000075,62,183.02516129032267,48.38709677419355,2.9007459005453344,931.2466666666667,-518.4325000000001,1.6840065968086488,30,32
ADMA,8280.394999999999,57,132.18649122807017,42.10526315789473,4.809945555416943,1328.1908333333333,-737.6348484848484,1.3095327202627565,24,33
