total_trades,win_rate,total_return,annualized_return,max_drawdown,profit_factor,sharpe_ratio,final_value,avg_pnl_pct,candle_type,aggregation_days,config_name
178,48.31460674157304,86.49306800000012,7.528624613637569,-16.713943685633478,3.5527406915335544,0.25514601036331364,932465.3400000005,24.357804636643756,linreg,5,linreg_5d
179,48.60335195530726,86.35704000000008,7.519486767063399,-16.729310870054054,3.5487259858604023,0.2543720783503856,931785.2000000004,24.183846210158908,linreg,3,linreg_3d
179,48.60335195530726,86.35704000000008,7.519486767063399,-16.729310870054054,3.5487259858604023,0.2543720783503856,931785.2000000004,24.183846210158908,linreg,4,linreg_4d
178,48.31460674157304,85.96918000000011,7.493399403764611,-16.773283266056257,3.5372787563018644,0.2520193038163141,929845.9000000006,24.21073587541774,linreg,2,linreg_2d
178,47.752808988764045,85.19531200000007,7.441205281223584,-16.861712457393022,3.5136341768259554,0.247000920446232,925976.5600000004,23.99323993649768,linreg,1,linreg_1d
176,48.86363636363637,84.15529000000002,7.37075585215774,-21.35833589463535,3.561644543647436,0.24237064755311322,920776.4500000001,23.96110706276296,regular,3,regular_3d
177,49.152542372881356,83.74494999999999,7.3428633340544724,-21.41531474585709,3.5210679159153426,0.23981787061457935,918724.75,23.709839985346672,regular,5,regular_5d
177,49.152542372881356,83.74494999999999,7.3428633340544724,-21.41531474585709,3.5210679159153426,0.23981787061457935,918724.75,23.709839985346672,regular,4,regular_4d
176,48.86363636363637,83.53918999999999,7.328856247037119,-21.44400069251219,3.5428907706720096,0.23856285073732592,917695.95,23.78606114908068,regular,2,regular_2d
176,48.29545454545455,82.26477999999994,7.241790572242057,-21.623398402183984,3.466427829427374,0.23034290033232152,911323.8999999998,23.42372384174572,regular,1,regular_1d
178,46.06741573033708,77.45406600000034,6.908207399905031,-20.46541633479,3.3637555231764673,0.20666071443657005,887270.3300000017,21.794092840683348,heiken_ashi,4,heiken_ashi_4d
178,46.06741573033708,77.45406600000034,6.908207399905031,-20.46541633479,3.3637555231764673,0.20666071443657005,887270.3300000017,21.794092840683348,heiken_ashi,5,heiken_ashi_5d
178,45.50561797752809,77.01416200000028,6.877306348173584,-20.52470465713465,3.349141531407433,0.20398170150213354,885070.8100000015,21.669428575637316,heiken_ashi,3,heiken_ashi_3d
178,45.50561797752809,76.63727600000027,6.850777982043121,-20.575773597204652,3.3376454827299695,0.20162726181644428,883186.3800000014,21.563748698597813,heiken_ashi,2,heiken_ashi_2d
178,44.9438202247191,75.23928800000029,6.751937172345457,-20.767444605171914,3.2639572903605067,0.19255061119250647,876196.4400000015,21.170832457772445,heiken_ashi,1,heiken_ashi_1d
