symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason
PDFS,2017-04-01,2017-05-01,22.62,17.58,442,-2227.680000000001,-22.28116710875333,momentum_exit
SSRM,2017-04-01,2017-05-01,10.61,10.12,942,-461.5800000000002,-4.618284637134784,momentum_exit
ARLP,2017-04-01,2017-05-01,21.65,23.1,461,668.4500000000013,6.6974595842956175,momentum_exit
BKR,2017-04-01,2017-05-01,42.32,42.21,236,-25.959999999999866,-0.25992438563327,momentum_exit
BOOM,2017-04-01,2017-05-01,12.4,14.45,806,1652.299999999999,16.532258064516125,momentum_exit
LFMD,2017-04-01,2017-05-01,2.49,2.1,4016,-1566.2400000000005,-15.662650602409645,momentum_exit
CECO,2017-04-01,2017-06-01,10.51,9.49,951,-970.0199999999996,-9.705042816365362,momentum_exit
SKYW,2017-04-01,2017-06-01,34.25,35.05,291,232.79999999999916,2.335766423357666,momentum_exit
SMMT,2017-04-01,2017-06-01,13.28,10.53,753,-2070.75,-20.707831325301207,momentum_exit
WING,2017-04-01,2017-06-01,13.06,13.66,765,458.9999999999997,4.594180704441042,momentum_exit
VRNS,2017-04-01,2017-06-01,10.6,12.08,943,1395.6400000000003,13.962264150943394,momentum_exit
SLM,2017-04-01,2017-06-01,12.1,10.32,826,-1470.2799999999995,-14.710743801652892,momentum_exit
BBSI,2017-04-01,2017-06-01,13.66,14.46,732,585.6000000000005,5.856515373352855,momentum_exit
NSSC,2017-05-01,2017-06-01,5.25,4.78,1904,-894.8799999999995,-8.952380952380945,momentum_exit
CRESY,2017-04-01,2017-07-01,18.19,17.62,549,-312.9300000000002,-3.133589884551957,momentum_exit
CYTK,2017-04-01,2017-07-01,12.85,12.1,778,-583.5,-5.836575875486383,momentum_exit
CRNT,2017-04-01,2017-07-01,3.27,2.55,3058,-2201.7600000000007,-22.018348623853214,momentum_exit
NSIT,2017-05-01,2017-07-01,42.28,39.99,236,-540.4399999999998,-5.416272469252603,momentum_exit
TER,2017-05-01,2017-07-01,35.78,30.03,279,-1604.25,-16.070430408049184,momentum_exit
TATT,2017-06-01,2017-07-01,12.2,10.2,819,-1638.0,-16.393442622950815,momentum_exit
LFMD,2017-06-01,2017-07-01,1.8,1.5,5555,-1666.5000000000002,-16.666666666666675,momentum_exit
EXPI,2017-04-01,2017-08-01,1.83,1.64,5464,-1038.160000000001,-10.382513661202196,momentum_exit
FATE,2017-04-01,2017-08-01,4.55,2.72,2197,-4020.5099999999993,-40.21978021978021,momentum_exit
IDXX,2017-04-01,2017-08-01,154.61,154.68,64,4.479999999999563,0.04527520858934597,momentum_exit
AMKR,2017-04-01,2017-08-01,11.18,9.08,894,-1877.3999999999996,-18.783542039355993,momentum_exit
PRDO,2017-04-01,2017-08-01,8.7,8.32,1149,-436.61999999999887,-4.367816091954014,momentum_exit
CASH,2017-04-01,2017-08-01,29.5,23.55,338,-2011.0999999999997,-20.169491525423723,momentum_exit
STX,2017-05-01,2017-08-01,42.18,33.37,237,-2087.9700000000007,-20.88667614983405,momentum_exit
CRUS,2017-05-01,2017-08-01,65.18,63.08,153,-321.3000000000013,-3.2218471923903147,momentum_exit
MRVL,2017-06-01,2017-08-01,17.78,15.77,562,-1129.6200000000008,-11.304836895388082,momentum_exit
CDZI,2017-04-01,2017-09-01,15.05,9.7,664,-3552.400000000001,-35.54817275747509,momentum_exit
VSA,2017-04-01,2017-09-01,92.6,71.35,107,-2273.75,-22.948164146868255,momentum_exit
MELI,2017-04-01,2017-09-01,211.47,251.91,47,1900.6799999999998,19.12327989785785,momentum_exit
NGNE,2017-05-01,2017-09-01,295.0,293.4,33,-52.80000000000075,-0.5423728813559348,momentum_exit
VECO,2017-05-01,2017-09-01,34.15,19.4,292,-4307.0,-43.1918008784773,momentum_exit
QMCO,2017-05-01,2017-09-01,164.0,111.2,60,-3168.0,-32.195121951219505,momentum_exit
STKL,2017-06-01,2017-09-01,9.45,8.6,1058,-899.2999999999996,-8.994708994708988,momentum_exit
OCUL,2017-07-01,2017-09-01,9.27,6.46,1078,-3029.1799999999994,-30.312837108953616,momentum_exit
GSAT,2017-07-01,2017-09-01,31.95,30.0,312,-608.3999999999997,-6.103286384976525,momentum_exit
ANGI,2017-07-01,2017-09-01,127.9,119.7,78,-639.6000000000003,-6.411258795934327,momentum_exit
STAA,2017-07-01,2017-09-01,10.8,12.0,925,1109.9999999999993,11.111111111111093,momentum_exit
ISSC,2017-07-01,2017-09-01,3.25,2.37,3076,-2706.8799999999997,-27.076923076923077,momentum_exit
MMYT,2017-04-01,2017-10-01,34.6,28.75,289,-1690.6500000000003,-16.907514450867055,momentum_exit
LINC,2017-06-01,2017-10-01,3.44,2.5,2906,-2731.64,-27.32558139534884,momentum_exit
SYPR,2017-07-01,2017-10-01,1.65,1.44,6060,-1272.5999999999997,-12.72727272727272,momentum_exit
SMMT,2017-08-01,2017-10-01,13.92,12.55,718,-983.6599999999994,-9.841954022988498,momentum_exit
FATE,2017-09-01,2017-10-01,3.87,3.96,2583,232.46999999999963,2.3255813953488413,momentum_exit
MEOH,2017-09-01,2017-10-01,51.85,50.3,192,-297.6000000000008,-2.989392478302799,momentum_exit
TVTX,2017-09-01,2017-10-01,24.63,24.89,406,105.56000000000063,1.055623223710933,momentum_exit
AVXL,2017-09-01,2017-10-01,4.72,4.14,2118,-1228.44,-12.288135593220339,momentum_exit
LOGI,2017-04-01,2017-11-01,31.87,35.98,313,1286.4299999999987,12.896140571069958,momentum_exit
KRNT,2017-04-01,2017-11-01,19.1,15.55,523,-1856.6500000000003,-18.586387434554975,momentum_exit
IDN,2017-06-01,2017-11-01,4.2,2.19,2380,-4783.8,-47.85714285714286,momentum_exit
EWBC,2017-07-01,2017-11-01,58.58,59.73,170,195.49999999999977,1.963127347217486,momentum_exit
SLM,2017-07-01,2017-11-01,11.5,10.48,869,-886.3799999999997,-8.869565217391296,momentum_exit
ARQ,2017-08-01,2017-11-01,11.21,11.8,892,526.2799999999999,5.263157894736836,momentum_exit
LFMD,2017-09-01,2017-11-01,1.88,2.05,5319,904.2299999999997,9.042553191489366,momentum_exit
CENX,2017-04-01,2017-12-01,12.69,13.38,788,543.720000000001,5.437352245862903,momentum_exit
WLDN,2017-04-01,2017-12-01,32.26,25.17,309,-2190.809999999999,-21.97768133911965,momentum_exit
MASI,2017-04-01,2017-12-01,93.26,88.88,107,-468.66000000000105,-4.696547287154207,momentum_exit
WIX,2017-04-01,2017-12-01,67.9,53.7,147,-2087.4000000000005,-20.91310751104566,momentum_exit
AMD,2017-04-01,2017-12-01,14.55,10.73,687,-2624.34,-26.254295532646044,momentum_exit
TRUE,2017-04-01,2017-12-01,15.47,12.07,646,-2196.4,-21.978021978021978,momentum_exit
LITS,2017-07-01,2017-12-01,46.05,43.45,217,-564.1999999999988,-5.646036916395214,momentum_exit
LPLA,2017-07-01,2017-12-01,42.46,52.94,235,2462.7999999999993,24.682053697597727,momentum_exit
MVIS,2017-09-01,2017-12-01,2.3,1.63,4347,-2912.49,-29.130434782608695,momentum_exit
ARCB,2017-09-01,2017-12-01,30.05,36.9,332,2274.1999999999994,22.795341098169718,momentum_exit
CDZI,2017-10-01,2017-12-01,12.7,13.6,787,708.3000000000003,7.086614173228356,momentum_exit
SKYW,2017-10-01,2017-12-01,43.9,50.8,227,1566.2999999999997,15.717539863325737,momentum_exit
VSEC,2017-10-01,2017-12-01,56.86,47.37,175,-1660.7500000000005,-16.69011607456912,momentum_exit
FATE,2017-11-01,2017-12-01,4.69,4.39,2132,-639.6000000000015,-6.396588486140741,momentum_exit
BOOM,2017-11-01,2017-12-01,21.55,20.9,464,-301.600000000001,-3.0162412993039567,momentum_exit
FOXF,2017-04-01,2018-01-01,28.7,38.85,348,3532.2000000000007,35.365853658536594,momentum_exit
VICR,2017-05-01,2018-01-01,17.95,20.9,557,1643.1499999999996,16.434540389972142,momentum_exit
FBNC,2017-07-01,2018-01-01,31.26,35.31,319,1291.9500000000003,12.955854126679455,momentum_exit
TSLA,2017-09-01,2018-01-01,23.69,20.76,422,-1236.4599999999998,-12.368087800759808,momentum_exit
