total_return,ann_return,sharpe,max_dd,trades,win_rate,pf,lookback_months,entry_pct,exit_pct,config
108.57978,8.939566274596732,0.3747276373805874,-19.28741856744233,143,51.048951048951054,3.917979302697658,18,25.0,40.0,LB18m_E25_X40
103.46318399999986,8.624890895915938,0.35992841067425785,-12.852700664611982,344,42.151162790697676,2.5146243550983742,6,25.0,35.0,LB6m_E25_X35
100.72986600000004,8.4539132075367,0.3550226632343767,-11.803031742098383,288,43.40277777777778,2.6609417997670652,6,20.0,35.0,LB6m_E20_X35
102.13557799999991,8.54210009190175,0.3532442219245799,-12.898838740913899,359,42.89693593314763,2.4820105395927925,6,25.0,30.0,LB6m_E25_X30
98.25848199999996,8.297540237184297,0.3476467043088166,-15.574908323846895,180,47.77777777777778,3.4972104928102152,18,25.0,30.0,LB18m_E25_X30
98.644412,8.32207242915295,0.34366338851056133,-11.64823022175565,294,41.49659863945578,2.614305783207285,6,20.0,30.0,LB6m_E20_X30
100.33109399999982,8.428797031928227,0.33393267336020727,-15.48206191947167,321,40.809968847352025,2.4457458715466847,6,25.0,40.0,LB6m_E25_X40
100.33774999999996,8.429216614447622,0.332999265459581,-18.514925212720286,165,47.878787878787875,3.559085428619572,18,25.0,35.0,LB18m_E25_X35
95.84933400000007,8.143438537549063,0.32984495615223275,-16.764466944987095,114,52.63157894736842,4.119879439397046,18,20.0,40.0,LB18m_E20_X40
97.27098799999997,8.234576137241746,0.3248182970725958,-15.168911233646195,275,41.45454545454545,2.5303137517396066,6,20.0,40.0,LB6m_E20_X40
100.457792,8.436781737377519,0.31446374195386756,-17.718717274081275,190,48.421052631578945,3.4720278300654006,12,25.0,40.0,LB12m_E25_X40
99.83635200000003,8.397574830830369,0.31423006253569735,-19.661881786582214,241,44.81327800829876,2.8864435903538075,9,25.0,40.0,LB9m_E25_X40
90.97646999999989,7.826555419751524,0.30583992017682643,-10.597081285300447,200,47.0,3.0925022268511713,6,15.0,35.0,LB6m_E15_X35
95.44525199999995,8.11742748498423,0.29801326831434183,-19.17646163214529,205,43.90243902439025,3.0975478361223097,9,20.0,40.0,LB9m_E20_X40
95.10833599999992,8.095703607399308,0.29735777790443857,-18.446707004089998,270,43.333333333333336,2.6664111742205816,9,25.0,35.0,LB9m_E25_X35
95.12075200000005,8.096504761893964,0.2923669089140764,-18.285199394019624,157,50.318471337579616,3.777164483572222,12,20.0,40.0,LB12m_E20_X40
89.28050999999981,7.714589563146346,0.28928715118668885,-12.352608768535012,195,45.64102564102564,3.0409673446253733,6,15.0,40.0,LB6m_E15_X40
92.06914999999987,7.8982287970447596,0.2879272564059427,-18.078260657830374,225,43.111111111111114,2.9004076210325103,9,20.0,35.0,LB9m_E20_X35
88.17942799999999,7.64142156330907,0.28692556150635623,-12.262163612744,326,41.41104294478527,2.474215753510416,9,25.0,25.0,LB9m_E25_X25
92.89518199999998,7.952172911543465,0.2861992576812767,-16.730956788189363,206,46.601941747572816,3.263139172989651,12,25.0,35.0,LB12m_E25_X35
92.52377199999997,7.927943243144786,0.2854288240910479,-17.928564999032474,281,42.704626334519574,2.606460214622027,9,25.0,30.0,LB9m_E25_X30
87.69694999999986,7.609241167234404,0.28454549884482705,-10.405466043416437,203,46.30541871921182,2.9537925070088002,6,15.0,30.0,LB6m_E15_X30
86.50048199999998,7.529122488870299,0.2823775973146743,-15.059695125757578,140,45.714285714285715,3.47572177347878,18,20.0,30.0,LB18m_E20_X30
88.309338,7.650073864377704,0.27828991199606445,-16.698671718552156,391,44.75703324808184,2.296408062792636,6,25.0,25.0,LB6m_E25_X25
90.46217799999998,7.7926954132369275,0.2771098578343677,-16.931266361212206,167,49.101796407185624,3.5987862059243945,12,20.0,35.0,LB12m_E20_X35
90.47524000000013,7.793556389698386,0.2760532022275604,-17.545627749237013,114,48.24561403508772,4.288314962462412,12,15.0,40.0,LB12m_E15_X40
85.4685859999998,7.459658427923976,0.275406382350833,-11.050360247427141,258,40.69767441860465,2.687822002978571,9,20.0,25.0,LB9m_E20_X25
85.61354600000004,7.469437272443402,0.2744508043062928,-15.334575699164496,131,45.80152671755725,3.478071614301796,18,20.0,35.0,LB18m_E20_X35
89.30126199999988,7.715964940057329,0.27425190863213056,-17.624681911799584,231,42.42424242424242,2.801014729736752,9,20.0,30.0,LB9m_E20_X30
88.79608200000008,7.682445292691442,0.2642676383338032,-16.446396898998007,221,46.15384615384615,3.0031512588331486,12,25.0,30.0,LB12m_E25_X30
86.49306800000008,7.528624613637569,0.25514601036331375,-16.713943685633478,178,47.752808988764045,3.249018220086959,12,20.0,30.0,LB12m_E20_X30
84.2567960000001,7.377647165054624,0.24678274760724753,-16.657160638569124,118,48.30508474576271,4.050899001075846,12,15.0,35.0,LB12m_E15_X35
80.39520599999996,7.11308588816586,0.24116203144194354,-15.697822129618864,232,46.55172413793103,2.694505674169413,18,25.0,25.0,LB18m_E25_X25
78.29582599999998,6.967148633783249,0.23974888423250912,-11.69312153661422,314,42.35668789808918,2.301680252824723,6,20.0,25.0,LB6m_E20_X25
78.54576799999988,6.984602588955879,0.22998888069899143,-11.506956361208982,143,50.349650349650354,3.4472349459846168,6,10.0,40.0,LB6m_E10_X40
78.51506999999991,6.982460048859851,0.22982260596656134,-11.482191423161144,144,51.388888888888886,3.42952949133172,6,10.0,35.0,LB6m_E10_X35
80.37914000000008,7.11197477943577,0.22526785685614198,-15.562098213534409,123,47.15447154471545,3.7791513528490457,12,15.0,30.0,LB12m_E15_X30
