total_return,ann_return,sharpe,max_dd,trades,win_rate,pf,final,candle_type,aggregation,config
161.75810799999962,11.871496309522001,1.2899402185978297,-4.032233068645216,994,52.31388329979879,2.8592982354855723,1308790.5399999982,heiken_ashi,1,heiken_ashi_1d
142.71337999999986,10.890622905073432,1.2677009777107389,-2.4361840939288486,457,65.20787746170679,5.809135065883245,1213566.8999999994,linreg,1,linreg_1d
116.85727199999975,9.44393141338531,1.094519982848317,-2.019071427156483,304,70.39473684210526,8.589759113455717,1084286.3599999987,linreg,3,linreg_3d
119.64053199999975,9.606768001769073,1.0938798308556297,-2.5689188434459163,359,66.01671309192201,6.658124104587869,1098202.6599999988,linreg,2,linreg_2d
133.6391599999999,10.39912263100915,1.050457765533941,-3.853008458884831,870,50.919540229885065,2.640717845807008,1168195.7999999993,heiken_ashi,2,heiken_ashi_2d
106.24471199999962,8.805597224960904,0.9597783931050865,-1.93732753730469,278,71.94244604316546,9.062702657415095,1031223.5599999982,linreg,4,linreg_4d
102.59380399999971,8.579278947207559,0.9367816981856942,-1.7432510453854213,252,71.82539682539682,9.92218259017848,1012969.0199999985,linreg,5,linreg_5d
112.87408799999992,9.207650824895097,0.8426699556387924,-4.357225261333685,785,50.19108280254777,2.4841930724250294,1064370.4399999995,heiken_ashi,3,heiken_ashi_3d
99.46347000000016,8.382343379057655,0.7448229620215099,-4.59543691889889,649,49.76887519260401,2.4386043474851697,997317.3500000008,heiken_ashi,5,heiken_ashi_5d
99.39665399999969,8.378110169797171,0.7204317294940584,-4.7533598061708995,717,48.53556485355649,2.3169443615719034,996983.2699999984,heiken_ashi,4,heiken_ashi_4d
82.93523400000001,7.294888588005555,0.415633502621312,-5.988499492526865,1210,43.553719008264466,1.6494992813933314,914676.17,regular,1,regular_1d
76.12271200000012,6.821220679721085,0.358760743557673,-5.646717124549149,1029,43.14868804664723,1.689853336145597,880613.5600000005,regular,2,regular_2d
61.50165000000054,5.747374465653277,0.166326723303267,-6.294345609349677,917,42.639040348964016,1.5883488459769406,807508.2500000027,regular,3,regular_3d
54.72195800000039,5.21999109124458,0.06785532838518427,-7.026511470879061,837,41.57706093189964,1.5426184464365422,773609.790000002,regular,4,regular_4d
47.4034160000002,4.627264646379281,-0.04990035943924134,-7.9881841826997295,754,41.246684350132625,1.4956992381694159,737017.080000001,regular,5,regular_5d
